# y+ ()       
# Time        	patch         	min           	max           	average       
30500         	bottomWall	2.981772e-02	2.981772e-02	2.981772e-02
30500         	topWall	2.981771e-02	2.981771e-02	2.981771e-02
31000         	bottomWall	2.983178e-02	2.983178e-02	2.983178e-02
31000         	topWall	2.983178e-02	2.983178e-02	2.983178e-02
31500         	bottomWall	2.984430e-02	2.984430e-02	2.984430e-02
31500         	topWall	2.984429e-02	2.984429e-02	2.984429e-02
32000         	bottomWall	2.985535e-02	2.985535e-02	2.985535e-02
32000         	topWall	2.985535e-02	2.985535e-02	2.985535e-02
32500         	bottomWall	2.986503e-02	2.986503e-02	2.986503e-02
32500         	topWall	2.986503e-02	2.986503e-02	2.986503e-02
33000         	bottomWall	2.987343e-02	2.987343e-02	2.987343e-02
33000         	topWall	2.987342e-02	2.987342e-02	2.987342e-02
33500         	bottomWall	2.988062e-02	2.988062e-02	2.988062e-02
33500         	topWall	2.988061e-02	2.988061e-02	2.988061e-02
34000         	bottomWall	2.988671e-02	2.988671e-02	2.988671e-02
34000         	topWall	2.988670e-02	2.988670e-02	2.988670e-02
34500         	bottomWall	2.989177e-02	2.989177e-02	2.989177e-02
34500         	topWall	2.989176e-02	2.989176e-02	2.989176e-02
35000         	bottomWall	2.989590e-02	2.989590e-02	2.989590e-02
35000         	topWall	2.989590e-02	2.989590e-02	2.989590e-02
35500         	bottomWall	2.989918e-02	2.989918e-02	2.989918e-02
35500         	topWall	2.989918e-02	2.989918e-02	2.989918e-02
36000         	bottomWall	2.990169e-02	2.990169e-02	2.990169e-02
36000         	topWall	2.990168e-02	2.990168e-02	2.990168e-02
36500         	bottomWall	2.990350e-02	2.990350e-02	2.990350e-02
36500         	topWall	2.990350e-02	2.990350e-02	2.990350e-02
37000         	bottomWall	2.990469e-02	2.990469e-02	2.990469e-02
37000         	topWall	2.990469e-02	2.990469e-02	2.990469e-02
37500         	bottomWall	2.990533e-02	2.990533e-02	2.990533e-02
37500         	topWall	2.990532e-02	2.990532e-02	2.990532e-02
38000         	bottomWall	2.990547e-02	2.990547e-02	2.990547e-02
38000         	topWall	2.990547e-02	2.990547e-02	2.990547e-02
38500         	bottomWall	2.990519e-02	2.990519e-02	2.990519e-02
38500         	topWall	2.990518e-02	2.990518e-02	2.990518e-02
39000         	bottomWall	2.990454e-02	2.990454e-02	2.990454e-02
39000         	topWall	2.990453e-02	2.990453e-02	2.990453e-02
39500         	bottomWall	2.990356e-02	2.990356e-02	2.990356e-02
39500         	topWall	2.990355e-02	2.990355e-02	2.990355e-02
40000         	bottomWall	2.990232e-02	2.990232e-02	2.990232e-02
40000         	topWall	2.990231e-02	2.990231e-02	2.990231e-02
40500         	bottomWall	2.990085e-02	2.990085e-02	2.990085e-02
40500         	topWall	2.990084e-02	2.990084e-02	2.990084e-02
41000         	bottomWall	2.989919e-02	2.989919e-02	2.989919e-02
41000         	topWall	2.989918e-02	2.989918e-02	2.989918e-02
41500         	bottomWall	2.989739e-02	2.989739e-02	2.989739e-02
41500         	topWall	2.989738e-02	2.989738e-02	2.989738e-02
42000         	bottomWall	2.989548e-02	2.989548e-02	2.989548e-02
42000         	topWall	2.989547e-02	2.989547e-02	2.989547e-02
42500         	bottomWall	2.989349e-02	2.989349e-02	2.989349e-02
42500         	topWall	2.989348e-02	2.989348e-02	2.989348e-02
43000         	bottomWall	2.989145e-02	2.989145e-02	2.989145e-02
43000         	topWall	2.989144e-02	2.989144e-02	2.989144e-02
